claim_id,description,actual_severity,filing_date
CLM00279,"Small scratch along front bumper noticed on February 28, 2025. Unknown cause. 2018 Jeep Wrangler parked at Boston Shopping Center.",Low,2025-02-28
CLM00280,Windshield chip from road debris on 139 days ago while driving on Oak Ave. 2020 Lexus RX. Small chip needs repair before it spreads.,Low,2025-05-19
CLM00281,Windshield chip from road debris on 05/04/2025 while driving on Park Ave. 2020 GMC Sierra. Small chip needs repair before it spreads.,Low,2025-05-04
CLM00282,"Broken driver side door discovered on March 24, 2025 at Worcester Shopping Center. Likely vandalism while parked. 2019 Hyundai Elantra.",Low,2025-03-24
CLM00283,"URGENT: Major collision on November 23, 2024 at River Road and Summer St in Quincy. My 2018 Jeep Wrangler was hit by driver who ran red light. Extensive damage to front bumper, fender, and trunk. Airbags deployed. Multiple injuries. Police and ambulance responded. Need immediate assistance.",High,2024-11-23
CLM00284,Fender bender on 07/30/2025 at Washington Blvd in Hartford. 2020 Lexus RX damage to quarter panel. Both drivers remained at scene.,Medium,2025-07-30
CLM00285,Collision with deer on Hill Ave near Springfield on 97 days ago. 2019 Infiniti Q50 has front-end damage including front bumper and headlight. Police report available.,Medium,2025-06-30
CLM00286,Vehicle damaged by shopping cart blown by wind on 05/01/2025. 2019 Honda Accord has dents on side mirror. Security footage available.,Medium,2025-05-01
CLM00287,Small scratch along front bumper noticed on 229 days ago. Unknown cause. 2019 Hyundai Elantra parked at Lynn Plaza.,Low,2025-02-18
CLM00288,"Minor bumper contact in parking garage on June 30, 2025. 2020 Subaru Outback. Both parties exchanged information.",Low,2025-06-30
CLM00289,Tire damage from pothole on Union Street on 09/11/2025. 2022 Mercedes-Benz C-Class. Tire needs replacement.,Low,2025-09-11
CLM00290,Shopping cart dent on passenger side at Worcester shopping center on 11 days ago. 2021 Volkswagen Jetta. Superficial damage only.,Low,2025-09-24
CLM00291,"Small scratch along headlight noticed on December 27, 2024. Unknown cause. 2018 Jeep Wrangler parked at Boston Shopping Center.",Low,2024-12-27
CLM00292,"Head-on collision on Summer St near Medford on September 16, 2025. 2020 Chevrolet Silverado sustained catastrophic front-end damage. Engine likely destroyed. Airbags deployed. Emergency services on scene. Vehicle total loss.",High,2025-09-16
CLM00293,"URGENT: House fire at 3251 River Road, Lowell on 283 days ago. Kitchen completely destroyed. Smoke and fire damage throughout first floor. Estimated damage $200,000. Fire department report available. Family displaced.",High,2024-12-26
CLM00294,"Backed into pole in parking lot on 12/22/2024 at Boston Parking Garage. 2021 Volvo XC90 has dent in fender. My fault, estimated repair cost $3,500.",Medium,2024-12-22
CLM00295,Vehicle damaged by shopping cart blown by wind on 174 days ago. 2022 Mercedes-Benz C-Class has dents on headlight. Security footage available.,Medium,2025-04-14
CLM00296,"Multi-vehicle pileup on July 21, 2025 on highway near Lynn. 2022 Mercedes-Benz C-Class sandwiched between two vehicles. Damage to front and rear including front bumper, rear bumper, rear bumper. Major traffic incident with police investigation ongoing.",High,2025-07-21
CLM00297,Windshield chip from road debris on 273 days ago while driving on Main St. 2022 Acura MDX. Small chip needs repair before it spreads.,Low,2025-01-05
CLM00298,Broken tail light discovered on 01/14/2025 at Brookline Plaza. Likely vandalism while parked. 2019 Hyundai Elantra.,Low,2025-01-14
CLM00299,"Multi-vehicle pileup on 10/21/2024 on highway near Malden. 2020 Toyota Camry sandwiched between two vehicles. Damage to front and rear including driver side door, rear bumper, quarter panel. Major traffic incident with police investigation ongoing.",High,2024-10-21
CLM00300,"Bird damage to paint on hood on 314 days ago. 2022 Mercedes-Benz C-Class. Etching visible, needs touch-up.",Low,2024-11-25
CLM00301,Small dent from hail storm on 179 days ago. 2021 Tesla Model 3 parked at Lowell Parking Garage. windshield affected.,Low,2025-04-09
CLM00302,"Small scratch along rear bumper noticed on July 12, 2025. Unknown cause. 2020 Lexus RX parked at Malden Parking Garage.",Low,2025-07-12
CLM00303,Minor scrape on front bumper while parking on 11/03/2024 at Cambridge Parking Garage. 2020 Kia Sorento. Paint transfer visible.,Low,2024-11-03
CLM00304,"Backed into pole in parking lot on 104 days ago at Malden Mall. 2022 Mercedes-Benz C-Class has dent in tail light. My fault, estimated repair cost $3,500.",Medium,2025-06-23
CLM00305,"Bird damage to paint on hood on 07/29/2025. 2020 GMC Sierra. Etching visible, needs touch-up.",Low,2025-07-29
CLM00306,Minor scrape on fender while parking on 07/06/2025 at Providence Parking Garage. 2020 GMC Sierra. Paint transfer visible.,Low,2025-07-06
CLM00307,Small scratch along rear bumper noticed on 04/19/2025. Unknown cause. 2020 Toyota Camry parked at Lynn Parking Garage.,Low,2025-04-19
CLM00308,"Fender bender on September 16, 2025 at Park Ave in Boston. 2022 BMW X5 damage to hood. Both drivers remained at scene.",Medium,2025-09-16
CLM00309,"Bird damage to paint on hood on 12/05/2024. 2020 Toyota Camry. Etching visible, needs touch-up.",Low,2024-12-05
CLM00310,"Side-swiped on highway near Newton on December 14, 2024. 2019 Audi A4 has damage to front bumper and tail light. Other driver cited for unsafe lane change.",Medium,2024-12-14
CLM00311,Tire damage from pothole on Church St on 02/28/2025. 2020 Chevrolet Silverado. Tire needs replacement.,Low,2025-02-28
CLM00312,Broken front bumper discovered on 270 days ago at Lowell Shopping Center. Likely vandalism while parked. 2019 Audi A4.,Low,2025-01-08
CLM00313,Tire damage from pothole on Park Ave on 293 days ago. 2019 Infiniti Q50. Tire needs replacement.,Low,2024-12-16
CLM00314,"Side-swiped on highway near Providence on July 07, 2025. 2018 Ford F-150 has damage to fender and headlight. Other driver cited for unsafe lane change.",Medium,2025-07-07
CLM00315,Minor collision at stoplight on 04/21/2025. 2022 BMW X5 bumped from behind. Damage to tail light.,Medium,2025-04-21
CLM00316,"Windshield chip from road debris on March 13, 2025 while driving on Broadway. 2019 Honda Accord. Small chip needs repair before it spreads.",Low,2025-03-13
CLM00317,Hit by opening car door on 47 days ago at Quincy Mall. Damage to quarter panel of my 2020 Lexus RX. Other party admitted fault.,Medium,2025-08-19
CLM00318,"URGENT: 2022 Acura MDX stolen from Hartford Parking Garage on January 05, 2025. Vehicle found abandoned three days later with severe damage. front bumper and front bumper destroyed. Interior vandalized. Police report filed. Recovery investigation ongoing.",High,2025-01-05
CLM00319,"Small scratch along hood noticed on October 24, 2024. Unknown cause. 2021 Volkswagen Jetta parked at Springfield Mall.",Low,2024-10-24
CLM00320,"Side-swiped on highway near Lynn on April 20, 2025. 2019 Hyundai Elantra has damage to trunk and hood. Other driver cited for unsafe lane change.",Medium,2025-04-20
CLM00321,"Small scratch along hood noticed on April 01, 2025. Unknown cause. 2020 GMC Sierra parked at Hartford Mall.",Low,2025-04-01
CLM00322,Small dent from hail storm on 127 days ago. 2019 Nissan Altima parked at Lynn Parking Garage. headlight affected.,Low,2025-05-31
CLM00323,Windshield chip from road debris on 08/23/2025 while driving on Spring St. 2020 Kia Sorento. Small chip needs repair before it spreads.,Low,2025-08-23
CLM00324,Broken windshield discovered on 79 days ago at Lowell Mall. Likely vandalism while parked. 2022 Mercedes-Benz C-Class.,Low,2025-07-18
CLM00325,Windshield chip from road debris on 11/10/2024 while driving on Hill Ave. 2021 Mazda CX-5. Small chip needs repair before it spreads.,Low,2024-11-10
CLM00326,Broken fender discovered on 12/18/2024 at Somerville Parking Garage. Likely vandalism while parked. 2022 BMW X5.,Low,2024-12-18
CLM00327,"Fender bender on January 09, 2025 at Maple Drive in Springfield. 2020 Kia Sorento damage to quarter panel. Both drivers remained at scene.",Medium,2025-01-09
CLM00328,Hit by opening car door on 08/15/2025 at Lowell Plaza. Damage to side mirror of my 2021 Volkswagen Jetta. Other party admitted fault.,Medium,2025-08-15
CLM00329,"Minor parking lot incident on December 20, 2024. Small scratch on windshield of my 2020 Toyota Camry. No injuries. Other party left contact information.",Low,2024-12-20
CLM00330,"Vehicle damaged by shopping cart blown by wind on November 10, 2024. 2022 Acura MDX has dents on passenger side. Security footage available.",Medium,2024-11-10
CLM00331,Hit and run while parked on 02/10/2025 at Waltham Shopping Center. 2019 Infiniti Q50 has significant damage to fender. Witnesses provided partial plate number.,Medium,2025-02-10
CLM00332,Shopping cart dent on windshield at Quincy shopping center on 291 days ago. 2020 Toyota Camry. Superficial damage only.,Low,2024-12-18
CLM00333,"Bird damage to paint on hood on 41 days ago. 2019 Nissan Altima. Etching visible, needs touch-up.",Low,2025-08-25
CLM00334,Tire damage from pothole on Summer St on 175 days ago. 2019 Honda Accord. Tire needs replacement.,Low,2025-04-13
CLM00335,"Broken quarter panel discovered on March 17, 2025 at Quincy Parking Garage. Likely vandalism while parked. 2019 Nissan Altima.",Low,2025-03-17
CLM00336,Vehicle struck by falling branch during storm on 341 days ago. 2020 GMC Sierra has damage to tail light and windshield. Tree maintenance company notified.,Medium,2024-10-29
CLM00337,"Shopping cart dent on quarter panel at Worcester shopping center on May 18, 2025. 2020 Subaru Outback. Superficial damage only.",Low,2025-05-18
CLM00338,Minor bumper contact in parking garage on 95 days ago. 2019 Infiniti Q50. Both parties exchanged information.,Low,2025-07-02
CLM00339,"Tire damage from pothole on Elm Street on April 24, 2025. 2020 Chevrolet Silverado. Tire needs replacement.",Low,2025-04-24
CLM00340,Side-swiped on highway near Waltham on 08/28/2025. 2022 BMW X5 has damage to driver side door and fender. Other driver cited for unsafe lane change.,Medium,2025-08-28
CLM00341,Small dent from hail storm on 35 days ago. 2020 Subaru Outback parked at Hartford Mall. driver side door affected.,Low,2025-08-31
CLM00342,Shopping cart dent on quarter panel at Boston shopping center on 141 days ago. 2022 BMW X5. Superficial damage only.,Low,2025-05-17
CLM00343,"Broken front bumper discovered on October 08, 2024 at Cambridge Shopping Center. Likely vandalism while parked. 2021 Mazda CX-5.",Low,2024-10-08
CLM00344,"Windshield chip from road debris on May 29, 2025 while driving on Pine Road. 2018 Ford F-150. Small chip needs repair before it spreads.",Low,2025-05-29
CLM00345,"Minor parking lot incident on October 05, 2024. Small scratch on hood of my 2020 Subaru Outback. No injuries. Other party left contact information.",Low,2024-10-05
CLM00346,"Rear-ended at intersection of River Road and Summer St in Lynn on July 24, 2025. My 2021 Tesla Model 3 sustained moderate damage to headlight. Police report filed.",Medium,2025-07-24
CLM00347,Minor parking lot incident on 130 days ago. Small scratch on windshield of my 2021 Volkswagen Jetta. No injuries. Other party left contact information.,Low,2025-05-28
CLM00348,Vehicle struck by falling branch during storm on 01/05/2025. 2021 Volkswagen Jetta has damage to quarter panel and windshield. Tree maintenance company notified.,Medium,2025-01-05
CLM00349,Small scratch along driver side door noticed on 07/21/2025. Unknown cause. 2020 GMC Sierra parked at Quincy Parking Garage.,Low,2025-07-21
CLM00350,"Small dent from hail storm on December 07, 2024. 2020 Lexus RX parked at Medford Mall. quarter panel affected.",Low,2024-12-07
CLM00351,Vehicle struck by falling branch during storm on 292 days ago. 2020 Kia Sorento has damage to passenger side and windshield. Tree maintenance company notified.,Medium,2024-12-17
CLM00352,"Windshield chip from road debris on July 30, 2025 while driving on Forest Drive. 2020 Lexus RX. Small chip needs repair before it spreads.",Low,2025-07-30
CLM00353,Windshield chip from road debris on 288 days ago while driving on Park Ave. 2019 Hyundai Elantra. Small chip needs repair before it spreads.,Low,2024-12-21
CLM00354,"URGENT: Major collision on November 25, 2024 at Oak Ave and Main St in Worcester. My 2022 Acura MDX was hit by driver who ran red light. Extensive damage to rear bumper, windshield, and front bumper. Airbags deployed. Multiple injuries. Police and ambulance responded. Need immediate assistance.",High,2024-11-25
CLM00355,Small dent from hail storm on 40 days ago. 2020 Subaru Outback parked at Brookline Parking Garage. rear bumper affected.,Low,2025-08-26
CLM00356,"Shopping cart dent on fender at Medford shopping center on July 10, 2025. 2020 Chevrolet Silverado. Superficial damage only.",Low,2025-07-10
CLM00357,URGENT: 2020 Lexus RX stolen from Medford Plaza on 02/25/2025. Vehicle found abandoned three days later with severe damage. hood and quarter panel destroyed. Interior vandalized. Police report filed. Recovery investigation ongoing.,High,2025-02-25
CLM00358,Small dent from hail storm on 182 days ago. 2019 Audi A4 parked at Hartford Shopping Center. rear bumper affected.,Low,2025-04-06
CLM00359,Vehicle damaged by shopping cart blown by wind on 06/10/2025. 2019 Nissan Altima has dents on driver side door. Security footage available.,Medium,2025-06-10
CLM00360,Small dent from hail storm on 101 days ago. 2020 GMC Sierra parked at Hartford Plaza. headlight affected.,Low,2025-06-26
CLM00361,Minor scrape on fender while parking on 08/28/2025 at Springfield Mall. 2020 Lexus RX. Paint transfer visible.,Low,2025-08-28
CLM00362,"Backed into pole in parking lot on October 17, 2024 at Lowell Shopping Center. 2020 Kia Sorento has dent in tail light. My fault, estimated repair cost $3,500.",Medium,2024-10-17
CLM00363,Tire damage from pothole on Lake Street on 120 days ago. 2018 Jeep Wrangler. Tire needs replacement.,Low,2025-06-07
CLM00364,"Bird damage to paint on hood on 179 days ago. 2022 BMW X5. Etching visible, needs touch-up.",Low,2025-04-09
CLM00365,Windshield chip from road debris on 345 days ago while driving on Summer St. 2020 Chevrolet Silverado. Small chip needs repair before it spreads.,Low,2024-10-25
CLM00366,Broken trunk discovered on 08/15/2025 at Cambridge Parking Garage. Likely vandalism while parked. 2019 Infiniti Q50.,Low,2025-08-15
CLM00367,Small scratch along hood noticed on 01/18/2025. Unknown cause. 2020 Kia Sorento parked at Lynn Mall.,Low,2025-01-18
CLM00368,Hit by opening car door on 11/11/2024 at Waltham Parking Garage. Damage to front bumper of my 2020 Kia Sorento. Other party admitted fault.,Medium,2024-11-11
CLM00369,URGENT: 2021 Volvo XC90 stolen from Somerville Plaza on 03/17/2025. Vehicle found abandoned three days later with severe damage. headlight and headlight destroyed. Interior vandalized. Police report filed. Recovery investigation ongoing.,High,2025-03-17
CLM00370,"Vehicle damaged by shopping cart blown by wind on March 05, 2025. 2018 Ford F-150 has dents on passenger side. Security footage available.",Medium,2025-03-05
CLM00371,"Small scratch along rear bumper noticed on August 25, 2025. Unknown cause. 2018 Jeep Wrangler parked at Somerville Parking Garage.",Low,2025-08-25
CLM00372,"Small dent from hail storm on September 15, 2025. 2022 Mercedes-Benz C-Class parked at Quincy Mall. quarter panel affected.",Low,2025-09-15
CLM00373,"Vehicle damaged by shopping cart blown by wind on April 18, 2025. 2020 Lexus RX has dents on front bumper. Security footage available.",Medium,2025-04-18
CLM00374,Minor scrape on driver side door while parking on 90 days ago at Providence Mall. 2019 Nissan Altima. Paint transfer visible.,Low,2025-07-07
CLM00375,Small dent from hail storm on 02/17/2025. 2022 Acura MDX parked at Malden Parking Garage. rear bumper affected.,Low,2025-02-17
CLM00376,"Minor bumper contact in parking garage on October 10, 2024. 2018 Dodge Ram. Both parties exchanged information.",Low,2024-10-10
CLM00377,Small scratch along front bumper noticed on 306 days ago. Unknown cause. 2020 GMC Sierra parked at Somerville Parking Garage.,Low,2024-12-03
CLM00378,"Bird damage to paint on hood on July 03, 2025. 2022 BMW X5. Etching visible, needs touch-up.",Low,2025-07-03
CLM00379,Minor scrape on headlight while parking on 309 days ago at Newton Plaza. 2022 BMW X5. Paint transfer visible.,Low,2024-11-30
CLM00380,"Minor scrape on driver side door while parking on October 22, 2024 at Springfield Mall. 2019 Infiniti Q50. Paint transfer visible.",Low,2024-10-22
CLM00381,Broken driver side door discovered on 03/27/2025 at Waltham Plaza. Likely vandalism while parked. 2020 GMC Sierra.,Low,2025-03-27
CLM00382,"Devastating hail storm on 10/10/2024 damaged 2019 Audi A4 and property. Multiple dents across hood, roof, and trunk. Windows cracked. Vehicle requires extensive repairs. Storm damage assessment needed.",High,2024-10-10
CLM00383,Small dent from hail storm on 350 days ago. 2021 Volvo XC90 parked at Quincy Mall. side mirror affected.,Low,2024-10-20
CLM00384,"Minor bumper contact in parking garage on October 13, 2024. 2019 Hyundai Elantra. Both parties exchanged information.",Low,2024-10-13
CLM00385,"Vehicle damaged by shopping cart blown by wind on August 02, 2025. 2020 GMC Sierra has dents on rear bumper. Security footage available.",Medium,2025-08-02
CLM00386,Collision with deer on Maple Drive near Somerville on 11/06/2024. 2022 Mercedes-Benz C-Class has front-end damage including quarter panel and front bumper. Police report available.,Medium,2024-11-06
CLM00387,Minor scrape on front bumper while parking on 09/17/2025 at Boston Mall. 2020 Chevrolet Silverado. Paint transfer visible.,Low,2025-09-17
CLM00388,Small dent from hail storm on 01/04/2025. 2018 Ford F-150 parked at Brookline Shopping Center. fender affected.,Low,2025-01-04
CLM00389,Broken side mirror discovered on 63 days ago at Medford Plaza. Likely vandalism while parked. 2019 Honda Accord.,Low,2025-08-03
CLM00390,Tire damage from pothole on Pleasant St on 07/30/2025. 2018 Jeep Wrangler. Tire needs replacement.,Low,2025-07-30
CLM00391,Windshield chip from road debris on 187 days ago while driving on Pine Road. 2020 Chevrolet Silverado. Small chip needs repair before it spreads.,Low,2025-04-01
CLM00392,"Bird damage to paint on hood on 12/23/2024. 2020 Subaru Outback. Etching visible, needs touch-up.",Low,2024-12-23
CLM00393,Small dent from hail storm on 05/13/2025. 2022 Mercedes-Benz C-Class parked at Malden Shopping Center. fender affected.,Low,2025-05-13
CLM00394,Broken headlight discovered on 11/28/2024 at Worcester Mall. Likely vandalism while parked. 2020 Subaru Outback.,Low,2024-11-28
CLM00395,Tire damage from pothole on School Road on 299 days ago. 2021 Volvo XC90. Tire needs replacement.,Low,2024-12-10
CLM00396,Shopping cart dent on windshield at Lowell shopping center on 36 days ago. 2019 Hyundai Elantra. Superficial damage only.,Low,2025-08-30
CLM00397,Windshield chip from road debris on 178 days ago while driving on Church St. 2018 Jeep Wrangler. Small chip needs repair before it spreads.,Low,2025-04-10
CLM00398,"Small scratch along passenger side noticed on May 29, 2025. Unknown cause. 2022 BMW X5 parked at Waltham Shopping Center.",Low,2025-05-29
CLM00399,Tire damage from pothole on Broadway on 150 days ago. 2022 Mercedes-Benz C-Class. Tire needs replacement.,Low,2025-05-08
CLM00400,Small scratch along side mirror noticed on 06/04/2025. Unknown cause. 2019 Hyundai Elantra parked at Medford Parking Garage.,Low,2025-06-04
CLM00401,Minor collision at stoplight on 01/18/2025. 2019 Nissan Altima bumped from behind. Damage to driver side door.,Medium,2025-01-18
CLM00402,"Broken quarter panel discovered on January 10, 2025 at Newton Shopping Center. Likely vandalism while parked. 2020 Kia Sorento.",Low,2025-01-10
CLM00403,Shopping cart dent on side mirror at Springfield shopping center on 06/16/2025. 2020 Kia Sorento. Superficial damage only.,Low,2025-06-16
CLM00404,Minor collision at stoplight on 12/02/2024. 2021 Tesla Model 3 bumped from behind. Damage to rear bumper.,Medium,2024-12-02
CLM00405,Shopping cart dent on rear bumper at Brookline shopping center on 08/13/2025. 2022 Mercedes-Benz C-Class. Superficial damage only.,Low,2025-08-13
CLM00406,"Bird damage to paint on hood on November 06, 2024. 2019 Nissan Altima. Etching visible, needs touch-up.",Low,2024-11-06
CLM00407,Vehicle damaged by shopping cart blown by wind on 06/18/2025. 2019 Audi A4 has dents on passenger side. Security footage available.,Medium,2025-06-18
CLM00408,"Head-on collision on Main St near Newton on January 20, 2025. 2021 Mazda CX-5 sustained catastrophic front-end damage. Engine likely destroyed. Airbags deployed. Emergency services on scene. Vehicle total loss.",High,2025-01-20
CLM00409,"Shopping cart dent on headlight at Providence shopping center on September 14, 2025. 2019 Hyundai Elantra. Superficial damage only.",Low,2025-09-14
CLM00410,"Small scratch along hood noticed on April 07, 2025. Unknown cause. 2020 GMC Sierra parked at Providence Parking Garage.",Low,2025-04-07
CLM00411,"Minor scrape on hood while parking on September 09, 2025 at Medford Parking Garage. 2022 Mercedes-Benz C-Class. Paint transfer visible.",Low,2025-09-09
CLM00412,"Shopping cart dent on trunk at Waltham shopping center on January 10, 2025. 2021 Volkswagen Jetta. Superficial damage only.",Low,2025-01-10
CLM00413,Vehicle damaged by shopping cart blown by wind on 05/10/2025. 2021 Volkswagen Jetta has dents on headlight. Security footage available.,Medium,2025-05-10
CLM00414,"My 2018 Jeep Wrangler was struck by drunk driver on 10 days ago at Providence Plaza. Extensive damage to rear bumper, side mirror, and frame. Police arrested other driver at scene. Vehicle likely totaled. Injuries sustained.",High,2025-09-25
CLM00415,Side-swiped on highway near Quincy on 07/10/2025. 2022 BMW X5 has damage to trunk and tail light. Other driver cited for unsafe lane change.,Medium,2025-07-10
CLM00416,Hit and run while parked on 01/22/2025 at Quincy Parking Garage. 2020 GMC Sierra has significant damage to hood. Witnesses provided partial plate number.,Medium,2025-01-22
CLM00417,"Minor parking lot incident on June 18, 2025. Small scratch on driver side door of my 2022 BMW X5. No injuries. Other party left contact information.",Low,2025-06-18
CLM00418,Windshield chip from road debris on 06/14/2025 while driving on Pleasant St. 2019 Audi A4. Small chip needs repair before it spreads.,Low,2025-06-14
CLM00419,"Tire damage from pothole on Pleasant St on November 14, 2024. 2022 Mercedes-Benz C-Class. Tire needs replacement.",Low,2024-11-14
CLM00420,"Multi-vehicle pileup on 12/20/2024 on highway near Lowell. 2019 Audi A4 sandwiched between two vehicles. Damage to front and rear including hood, quarter panel, windshield. Major traffic incident with police investigation ongoing.",High,2024-12-20
CLM00421,"Bird damage to paint on hood on 99 days ago. 2020 Chevrolet Silverado. Etching visible, needs touch-up.",Low,2025-06-28
CLM00422,Shopping cart dent on tail light at Cambridge shopping center on 07/25/2025. 2022 Acura MDX. Superficial damage only.,Low,2025-07-25
CLM00423,"URGENT: House fire at 8927 Main St, Quincy on December 26, 2024. Kitchen completely destroyed. Smoke and fire damage throughout first floor. Estimated damage $100,000. Fire department report available. Family displaced.",High,2024-12-26
CLM00424,Vehicle struck by falling branch during storm on 07/26/2025. 2021 Mazda CX-5 has damage to tail light and windshield. Tree maintenance company notified.,Medium,2025-07-26
CLM00425,Severe accident on highway near Brookline on 244 days ago. 2022 Mercedes-Benz C-Class struck by semi-truck. Major damage to entire rear bumper side. Vehicle towed from scene. Hospital treatment required. Police report number RPT548127.,High,2025-02-03
CLM00426,"Rear-ended at intersection of Washington Blvd and Washington Blvd in Hartford on December 17, 2024. My 2022 Mercedes-Benz C-Class sustained moderate damage to quarter panel. Police report filed.",Medium,2024-12-17
CLM00427,"Fender bender on March 29, 2025 at Main St in Boston. 2020 Kia Sorento damage to rear bumper. Both drivers remained at scene.",Medium,2025-03-29
CLM00428,Windshield chip from road debris on 03/12/2025 while driving on School Road. 2020 Subaru Outback. Small chip needs repair before it spreads.,Low,2025-03-12
CLM00429,"Minor bumper contact in parking garage on May 06, 2025. 2019 Hyundai Elantra. Both parties exchanged information.",Low,2025-05-06
CLM00430,"My 2020 GMC Sierra was struck by drunk driver on March 27, 2025 at Quincy Parking Garage. Extensive damage to windshield, fender, and frame. Police arrested other driver at scene. Vehicle likely totaled. Injuries sustained.",High,2025-03-27
CLM00431,Broken quarter panel discovered on 02/14/2025 at Waltham Shopping Center. Likely vandalism while parked. 2019 Infiniti Q50.,Low,2025-02-14
CLM00432,"Bird damage to paint on hood on 05/23/2025. 2019 Hyundai Elantra. Etching visible, needs touch-up.",Low,2025-05-23
CLM00433,Tire damage from pothole on Cedar Lane on 01/23/2025. 2019 Infiniti Q50. Tire needs replacement.,Low,2025-01-23
CLM00434,"Backed into pole in parking lot on May 24, 2025 at Lowell Plaza. 2020 Lexus RX has dent in front bumper. My fault, estimated repair cost $3,500.",Medium,2025-05-24
CLM00435,"Minor bumper contact in parking garage on October 12, 2024. 2019 Hyundai Elantra. Both parties exchanged information.",Low,2024-10-12
CLM00436,Minor scrape on side mirror while parking on 327 days ago at Lynn Plaza. 2021 Volvo XC90. Paint transfer visible.,Low,2024-11-12
CLM00437,Small scratch along front bumper noticed on 08/06/2025. Unknown cause. 2022 BMW X5 parked at Cambridge Mall.,Low,2025-08-06
CLM00438,Shopping cart dent on side mirror at Worcester shopping center on 07/11/2025. 2021 Mazda CX-5. Superficial damage only.,Low,2025-07-11
CLM00439,Shopping cart dent on side mirror at Hartford shopping center on 331 days ago. 2021 Mazda CX-5. Superficial damage only.,Low,2024-11-08
CLM00440,"Bird damage to paint on hood on November 03, 2024. 2018 Jeep Wrangler. Etching visible, needs touch-up.",Low,2024-11-03
CLM00441,Small dent from hail storm on 10/21/2024. 2019 Audi A4 parked at Providence Mall. windshield affected.,Low,2024-10-21
CLM00442,Shopping cart dent on fender at Waltham shopping center on 47 days ago. 2019 Infiniti Q50. Superficial damage only.,Low,2025-08-19
CLM00443,Minor parking lot incident on 139 days ago. Small scratch on passenger side of my 2021 Tesla Model 3. No injuries. Other party left contact information.,Low,2025-05-19
CLM00444,Minor scrape on quarter panel while parking on 04/15/2025 at Somerville Plaza. 2019 Hyundai Elantra. Paint transfer visible.,Low,2025-04-15
CLM00445,"Small dent from hail storm on November 29, 2024. 2020 Toyota Camry parked at Lowell Plaza. driver side door affected.",Low,2024-11-29
CLM00446,Shopping cart dent on hood at Boston shopping center on 296 days ago. 2020 Lexus RX. Superficial damage only.,Low,2024-12-13
CLM00447,Minor parking lot incident on 02/20/2025. Small scratch on driver side door of my 2022 Mercedes-Benz C-Class. No injuries. Other party left contact information.,Low,2025-02-20
CLM00448,"Minor parking lot incident on October 07, 2024. Small scratch on tail light of my 2019 Hyundai Elantra. No injuries. Other party left contact information.",Low,2024-10-07
CLM00449,"Bird damage to paint on hood on November 17, 2024. 2021 Tesla Model 3. Etching visible, needs touch-up.",Low,2024-11-17
CLM00450,"Shopping cart dent on rear bumper at Providence shopping center on September 11, 2025. 2020 Subaru Outback. Superficial damage only.",Low,2025-09-11
CLM00451,Fender bender on 287 days ago at Pleasant St in Cambridge. 2020 Toyota Camry damage to windshield. Both drivers remained at scene.,Medium,2024-12-22
CLM00452,"Small scratch along hood noticed on December 23, 2024. Unknown cause. 2018 Dodge Ram parked at Providence Plaza.",Low,2024-12-23
CLM00453,Head-on collision on River Road near Somerville on 223 days ago. 2019 Hyundai Elantra sustained catastrophic front-end damage. Engine likely destroyed. Airbags deployed. Emergency services on scene. Vehicle total loss.,High,2025-02-24
CLM00454,Hit and run while parked on 06/22/2025 at Somerville Mall. 2020 Chevrolet Silverado has significant damage to fender. Witnesses provided partial plate number.,Medium,2025-06-22
CLM00455,"Bird damage to paint on hood on 01/01/2025. 2020 Toyota Camry. Etching visible, needs touch-up.",Low,2025-01-01
CLM00456,"Vehicle damaged by shopping cart blown by wind on January 22, 2025. 2019 Infiniti Q50 has dents on side mirror. Security footage available.",Medium,2025-01-22
CLM00457,Fender bender on 12/20/2024 at Pine Road in Waltham. 2022 Mercedes-Benz C-Class damage to rear bumper. Both drivers remained at scene.,Medium,2024-12-20
CLM00458,Minor parking lot incident on 251 days ago. Small scratch on driver side door of my 2019 Audi A4. No injuries. Other party left contact information.,Low,2025-01-27
CLM00459,Shopping cart dent on quarter panel at Quincy shopping center on 04/17/2025. 2019 Infiniti Q50. Superficial damage only.,Low,2025-04-17
CLM00460,Vehicle struck by falling branch during storm on 56 days ago. 2019 Nissan Altima has damage to headlight and windshield. Tree maintenance company notified.,Medium,2025-08-10
CLM00461,Tire damage from pothole on Broadway on 08/18/2025. 2020 Kia Sorento. Tire needs replacement.,Low,2025-08-18
CLM00462,Broken driver side door discovered on 89 days ago at Lynn Plaza. Likely vandalism while parked. 2019 Hyundai Elantra.,Low,2025-07-08
CLM00463,Tire damage from pothole on Oak Ave on 101 days ago. 2020 Toyota Camry. Tire needs replacement.,Low,2025-06-26
CLM00464,Small dent from hail storm on 200 days ago. 2020 Subaru Outback parked at Providence Parking Garage. quarter panel affected.,Low,2025-03-19
CLM00465,Small dent from hail storm on 346 days ago. 2021 Tesla Model 3 parked at Cambridge Shopping Center. tail light affected.,Low,2024-10-24
CLM00466,Minor bumper contact in parking garage on 07/24/2025. 2022 Acura MDX. Both parties exchanged information.,Low,2025-07-24
CLM00467,"Small dent from hail storm on June 20, 2025. 2020 Chevrolet Silverado parked at Waltham Plaza. tail light affected.",Low,2025-06-20
